Ticker|EvalDate|Price|EntryTimeET|Change%|RelVol(TimeAdj63d)|Resistance|TP|RR_to_Res|RR_to_TP|SupportType|SupportPrice|Risk$|TPReward$|TPReward%|ResReward$|ResReward%|DailyATR|DailyCap|Hist21d_PassCount|Hist21d_Max%|Hist21d_Examples|ResLookbackDays|Prices|Session|EntrySrc|VolSrc|OptExpiry|BuyK|SellK|Width|DebitMid|DebitCons|MaxProfitMid|MaxProfitCons|RR_Spread_Mid|RR_Spread_Cons|BreakevenMid|PricingNote
SBAC|2025-09-05|197.68|2025-09-05 10:14:16 ET|1.29|2.27|225.33|211.5|5.85|2.92|SwingLow21|192.95|4.73|13.825|6.99|27.65|13.99|5.6518|118.6875|24|13.45|2025-04-08:+13.45%; 2025-04-09:+12.99%; 2025-04-07:+12.07%|21|222.87,221.57,218.84,208.13,206.04,204.85,202.0,199.31,195.17,197.68|OPEN|daily_partial_close|daily_partial||||||||||||no_lower_strike
AMT|2025-09-05|197.97|2025-09-05 10:10:35 ET|1.48|3.37|214.79|206.38|3.42|1.71|SwingLow21|193.05|4.92|8.41|4.25|16.82|8.5|4.3396|91.1325|48|13.63|2025-02-19:+13.63%; 2025-02-14:+13.46%; 2025-02-05:+13.25%|21|211.88,211.12,207.45,203.27,202.56,203.85,200.49,196.26,195.09,197.97|OPEN|daily_partial_close|daily_partial|2025-10-17|200.0|210.0|10.0|3.08|3.8|6.92|6.2|2.25|1.63|203.07|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
ORCL|2025-09-05|227.49|2025-09-05 10:13:46 ET|2.02|2.25|257.87|242.68|3.49|1.74|SwingLow21|218.79|8.705|15.1875|6.68|30.375|13.35|7.2744|152.7618|100|40.31|2025-06-03:+40.31%; 2025-06-04:+38.17%; 2025-06-02:+38.07%|21|236.37,235.41,234.21,235.81,240.32,226.13,225.3,223.45,223.0,227.49|OPEN|daily_partial_close|daily_partial|2025-10-03|240.0|245.0|5.0|1.27|2.4|3.73|2.6|2.92|1.08|241.28|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
IT|2025-09-05|242.98|2025-09-05 10:12:18 ET|2.64|1.58|252.13|247.56|4.74|2.37|PivotLow|241.05|1.93|4.575|1.88|9.15|3.77|6.1179|128.475|63|15.88|2025-04-08:+15.88%; 2025-04-07:+14.45%; 2025-04-21:+14.12%|21|249.9,241.47,243.13,246.36,247.73,251.19,250.91,247.58,236.73,242.98|OPEN|daily_partial_close|daily_partial|2025-10-17|240.0|250.0|10.0|4.15|6.7|5.85|3.3|1.41|0.49|244.15|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CHTR|2025-09-05|263.76|2025-09-05 10:11:17 ET|1.64|2.25|282.6|273.18|2.07|1.04|SwingLow21|254.67|9.09|9.42|3.57|18.84|7.14|6.635|139.335|65|31.34|2025-04-21:+31.34%; 2025-04-16:+28.5%; 2025-04-08:+25.72%|21|277.58,273.44,266.67,269.15,263.63,265.58,264.42,261.22,259.51,263.76|OPEN|daily_partial_close|daily_partial|2025-10-03|270.0|275.0|5.0|2.35|4.0|2.65|1.0|1.13|0.25|272.35|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
AMGN|2025-09-05|283.64|2025-09-05 10:10:37 ET|1.26|2.01|301.47|292.56|17.14|8.57|PivotLow|282.6|1.04|8.915|3.14|17.83|6.29|4.9793|104.5651|65|17.84|2025-01-03:+17.84%; 2025-01-06:+15.16%; 2025-01-24:+14.6%|21|293.72,288.47,289.58,287.97,285.61,287.71,286.92,283.85,280.1,283.64|OPEN|daily_partial_close|daily_partial|2025-10-03|290.0|295.0|5.0|1.29|2.15|3.71|2.85|2.89|1.33|291.29|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
ADBE|2025-09-05|352.1|2025-09-05 10:10:26 ET|2.26|2.65|364.65|358.38|2.46|1.23|PivotLow|347.0|5.1|6.275|1.78|12.55|3.56|8.4529|177.5101|61|21.67|2025-04-21:+21.67%; 2025-04-16:+21.19%; 2025-04-17:+20.61%|21|362.09,363.21,354.91,356.35,353.96,356.7,345.63,348.5,344.31,352.1|OPEN|daily_partial_close|daily_partial|2025-10-03|355.0|360.0|5.0|2.52|6.2|2.48|0|0.98|0.0|357.52|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CRWD|2025-09-05|412.86|2025-09-05 10:11:31 ET|0.1|1.52|451.98|432.42|11.0|5.5|PivotLow|409.31|3.555|19.56|4.74|39.12|9.48|13.4707|282.8846|125|37.8|2025-04-04:+37.8%; 2025-04-08:+31.87%; 2025-01-14:+30.38%|21|420.55,418.83,417.6,422.61,442.0,423.7,413.5,413.2,412.46,412.86|OPEN|daily_partial_close|daily_partial|2025-10-03|425.0|430.0|5.0|1.57|2.7|3.43|2.3|2.17|0.85|426.57|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid

Processed at 2025-09-05 10:15:16 ET
[run_and_log] wrote /home/runner/work/sp500scn/sp500scn/data/history/pass_20250905-141516.csv
